Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,,
1,3.711101,0.1348001,1.174715,0.390634,-0.0975662,0.05248648,0.3541887,-0.9285884,,,,,,
1,3.722212,0.1286626,1.169656,0.3881188,-0.1150477,0.07084998,0.3437209,-0.929301,,,,,,
1,3.733323,0.1240103,1.164846,0.3852328,-0.1313246,0.0909172,0.3342037,-0.9288681,,,,,,
1,3.744434,0.1188924,1.159823,0.3821304,-0.1441602,0.1079732,0.324751,-0.9284915,,,,,,
1,3.755545,0.1134203,1.154984,0.3788316,-0.1557413,0.1214628,0.3126981,-0.9290917,,,,,,
1,3.766656,0.1084355,1.150843,0.3755776,-0.1675648,0.133118,0.2956907,-0.9310041,,,,,,
1,3.777767,0.1038688,1.146978,0.3724537,-0.1803285,0.1466796,0.2774009,-0.9322101,,,,,,
1,3.788878,0.1010613,1.14421,0.3699323,-0.1949247,0.1622455,0.2520264,-0.9338969,,,,,,
1,3.799989,0.09900388,1.142782,0.367839,-0.2119561,0.1791035,0.2192558,-0.9353735,,,,,,
1,3.8111,0.09668207,1.141597,0.3662873,-0.2285199,0.1956428,0.1827677,-0.9360014,,,,,,
1,3.822211,0.0954478,1.141822,0.3651407,-0.24248,0.2161955,0.1374824,-0.9357145,,,,,,
1,3.833322,0.09431468,1.141326,0.3642592,-0.2510085,0.2406747,0.1037999,-0.9318241,,,,,,
1,3.844433,0.09288094,1.140658,0.3635503,-0.2568904,0.2646627,0.07917766,-0.9261166,,,,,,
1,3.855544,0.09162191,1.140151,0.3622462,-0.2622686,0.2870699,0.06361642,-0.9191078,,,,,,
1,3.866655,0.09027809,1.139679,0.361447,-0.270121,0.3080331,0.04616529,-0.9110538,,,,,,
1,3.877766,0.0900853,1.141368,0.3612636,-0.2794178,0.3283006,0.02507099,-0.9019512,,,,,,
1,3.888877,0.09030084,1.14471,0.3621904,-0.2904365,0.3462452,-0.006516748,-0.8920305,,,,,,
1,3.899988,0.09047198,1.14927,0.3637057,-0.3013533,0.3631194,-0.04054499,-0.8807308,,,,,,
1,3.911099,0.09030665,1.153112,0.3655441,-0.3120491,0.3798997,-0.0731755,-0.8677253,,,,,,
1,3.92221,0.09064218,1.15958,0.3677458,-0.3226347,0.3932577,-0.1090687,-0.8540254,,,,,,
1,3.933321,0.09126776,1.165338,0.3710966,-0.3281045,0.4063661,-0.1384555,-0.8414536,,,,,,
1,3.944432,0.09206979,1.171595,0.3742651,-0.3265707,0.4171788,-0.1675072,-0.8314174,,,,,,
1,3.955544,0.09225124,1.177892,0.3769938,-0.3175272,0.4248558,-0.1996895,-0.8238921,,,,,,
1,3.966655,0.09192367,1.184402,0.3795495,-0.3084802,0.431991,-0.2330317,-0.8148128,,,,,,
1,3.977766,0.09211628,1.193092,0.3834087,-0.2970708,0.4378773,-0.2633912,-0.8066211,,,,,,
1,3.988877,0.09249251,1.202312,0.3875619,-0.2909306,0.4435119,-0.2856286,-0.7981685,,,,,,
1,3.999988,0.09267111,1.212748,0.3922404,-0.288992,0.4471931,-0.3051974,-0.7895294,,,,,,
1,4.011099,0.09224793,1.222945,0.3964271,-0.2872922,0.4500352,-0.3264127,-0.7799913,,,,,,
1,4.02221,0.09146129,1.235291,0.401359,-0.2853809,0.4492979,-0.3470284,-0.7721791,,,,,,
1,4.033321,0.09005496,1.247608,0.4063953,-0.2817843,0.4470739,-0.3670535,-0.7655026,,,,,,
1,4.044433,0.08844094,1.260841,0.4110118,-0.2750222,0.4442372,-0.3866079,-0.7599675,,,,,,
1,4.055544,0.0869776,1.273558,0.4153555,-0.2671075,0.4415814,-0.4056311,-0.7544025,,,,,,
1,4.066655,0.08444163,1.287791,0.4199495,-0.2553071,0.4377677,-0.4229568,-0.7511893,,,,,,
1,4.077766,0.08155136,1.30256,0.4240435,-0.2414126,0.4329792,-0.4401403,-0.7486826,,,,,,
1,4.088878,0.07897386,1.317593,0.4279931,-0.2280541,0.4281266,-0.4544779,-0.7470937,,,,,,
1,4.099989,0.07555597,1.333153,0.4316872,-0.2168684,0.4232397,-0.465454,-0.7464509,,,,,,
1,4.1111,0.07257721,1.348146,0.4351158,-0.2058309,0.4180464,-0.476841,-0.7453145,,,,,,
1,4.122211,0.06847161,1.364366,0.4378635,-0.1931637,0.4114575,-0.4857729,-0.7466025,,,,,,
1,4.133323,0.06847161,1.364366,0.4378635,-0.1931637,0.4114575,-0.4857729,-0.7466025,,,,,,
1,4.144434,0.06054471,1.396117,0.4423391,-0.1629931,0.3965741,-0.5043861,-0.7495046,,,,,,
1,4.155545,0.05582248,1.412784,0.4438927,-0.1449099,0.3890188,-0.5133477,-0.7510924,,,,,,
1,4.166656,0.05142538,1.428949,0.4447436,-0.1249807,0.381041,-0.5229739,-0.7521209,,,,,,
1,4.177768,0.04678965,1.445254,0.4449185,-0.1042119,0.3728262,-0.5339922,-0.7516601,,,,,,
1,4.188879,0.04208787,1.46145,0.4444534,-0.08320165,0.3637789,-0.5455128,-0.7504387,,,,,,
1,4.19999,0.03700791,1.478013,0.4433761,-0.06451011,0.3545341,-0.5552307,-0.7495753,,,,,,
1,4.211102,0.03248979,1.493692,0.4424549,-0.04710019,0.3458867,-0.5622455,-0.7496825,,,,,,
1,4.222213,0.02789879,1.509034,0.4401558,-0.03124259,0.3377362,-0.5646494,-0.7524156,,,,,,
1,4.233324,0.02412596,1.524922,0.4389737,-0.01468824,0.3293486,-0.5676612,-0.7543704,,,,,,
1,4.244435,0.01976356,1.53964,0.435487,0.003258025,0.3205814,-0.5699072,-0.7565864,,,,,,
1,4.255547,0.01536831,1.554055,0.4314704,0.02384223,0.3121888,-0.5747954,-0.7560292,,,,,,
